Date,SERV_ADANIPORTS,CDUR_ASIANPAINT,FIN_AXISBANK,AUTO_BAJAJ-AUTO,TEL_BHARTIARTL,HLTH_CIPLA,OILGAS_COALINDIA,HLTH_DRREDDY,IT_HCLTECH,FIN_HDFCBANK,METAL_HINDALCO,FMCG_HINDUNILVR,FIN_ICICIBANK,IT_INFY,FMCG_ITC,FIN_KOTAKBANK,CONST_LT,AUTO_M&M,AUTO_MARUTI,PWR_NTPC,OILGAS_ONGC,PWR_POWERGRID,OILGAS_RELIANCE,FIN_SBIN,HLTH_SUNPHARMA,IT_TCS,AUTO_TATAMOTORS,METAL_TATASTEEL,IT_TECHM,CONST_ULTRACEMCO,IT_WIPRO
2007-01-02,,74.05999755859375,93.58000183105469,685.5125122070312,285.85626220703125,251.5,,161.47999572753906,79.90750122070312,53.5,161.3677978515625,216.39999389648438,163.1727294921875,284.08123779296875,59.0,100.0999984741211,324.477783203125,238.5500030517578,968.5999755859375,115.0,146.14166259765625,,146.39610290527344,118.27505493164062,91.60791015625,312.125,178.12063598632812,35.63663864135742,417.3374938964844,1130.0,68.79937744140625
2007-01-03,,74.08000183105469,94.93000030517578,711.0,288.6501770019531,257.8500061035156,,161.80999755859375,79.0199966430664,53.26499938964844,162.41004943847656,212.0,162.64544677734375,288.91876220703125,58.483333587646484,102.36250305175781,328.0777893066406,233.5625,974.5499877929688,115.79166412353516,145.4166717529297,,146.81326293945312,119.34123229980469,92.18421173095703,320.0375061035156,179.7974090576172,35.0968017578125,416.0249938964844,1105.199951171875,69.77250671386719
2007-01-04,,74.93499755859375,94.8499984741211,701.6124877929688,287.3658752441406,255.14999389648438,,165.6199951171875,77.5625,52.502498626708984,158.42230224609375,210.60000610351562,161.90908813476562,285.6625061035156,56.31666564941406,103.94999694824219,331.8555603027344,231.78750610351562,967.3499755859375,114.125,145.72500610351562,,146.3503875732422,117.2796401977539,91.75198364257812,314.76251220703125,181.49334716796875,34.675716400146484,410.4125061035156,1108.4000244140625,68.23125457763672
2007-01-05,,74.88500213623047,94.56999969482422,695.3875122070312,286.7349853515625,253.60000610351562,,162.0800018310547,77.09500122070312,52.845001220703125,155.0689697265625,213.35000610351562,165.4727325439453,284.3812561035156,55.099998474121094,102.98750305175781,326.8444519042969,224.1374969482422,934.9500122070312,115.0,149.1999969482422,,147.22471618652344,117.38343048095703,91.17568969726562,315.75,179.634521484375,34.887943267822266,410.79998779296875,1119.050048828125,67.28062438964844
2007-01-08,,72.875,93.11000061035156,678.1375122070312,280.3360595703125,247.5500030517578,,162.44000244140625,75.13749694824219,51.247501373291016,151.3984375,210.10000610351562,164.7818145751953,275.70001220703125,54.233333587646484,104.11250305175781,324.8222351074219,224.6374969482422,897.9500122070312,114.08333587646484,151.85833740234375,,145.93321228027344,114.51512145996094,91.90071105957031,310.95001220703125,177.92901611328125,34.5384407043457,419.48748779296875,1091.75,65.08125305175781
2007-01-09,,72.00499725341797,93.44999694824219,678.1875,280.8317565917969,244.10000610351562,,159.6300048828125,75.00749969482422,50.69499969482422,149.94833374023438,209.85000610351562,165.88182067871094,273.76251220703125,54.016666412353516,101.61250305175781,317.9888916015625,222.9499969482422,886.4500122070312,112.625,152.74166870117188,,146.09893798828125,110.85426330566406,91.6172103881836,314.1000061035156,174.59463500976562,33.86806869506836,411.9624938964844,1077.9000244140625,65.23875427246094
2007-01-10,,72.06500244140625,92.31999969482422,675.8624877929688,276.52825927734375,242.8000030517578,,154.99000549316406,73.62000274658203,49.932498931884766,149.3139190673828,208.5,160.6999969482422,270.5562438964844,54.383331298828125,101.13749694824219,313.3444519042969,219.1125030517578,880.5,110.625,148.4250030517578,,145.5103302001953,107.22171020507812,91.01302337646484,308.8500061035156,174.08682250976562,33.65247344970703,421.88751220703125,1035.25,66.38063049316406
2007-01-11,,72.79000091552734,95.70999908447266,690.1749877929688,286.7800598144531,246.6999969482422,,158.3800048828125,76.11250305175781,49.807498931884766,152.44068908691406,217.85000610351562,162.24545288085938,272.875,56.400001525878906,103.3499984741211,319.8444519042969,227.7375030517578,905.7999877929688,114.41666412353516,152.43333435058594,,148.17904663085938,108.26429748535156,94.17800903320312,319.4125061035156,175.9839630126953,34.400325775146484,444.82501220703125,1063.199951171875,69.69937896728516
2007-01-12,,71.37000274658203,99.95999908447266,692.0,299.1272888183594,255.1999969482422,,161.88999938964844,78.98249816894531,53.08000183105469,154.47987365722656,219.6999969482422,176.7818145751953,277.92498779296875,57.03333282470703,105.57499694824219,325.8222351074219,233.3625030517578,922.3499755859375,115.54166412353516,153.94166564941406,,153.0935821533203,115.62376403808594,95.77677154541016,330.98748779296875,180.3627166748047,34.850887298583984,461.48748779296875,1073.25,70.47563171386719
2007-01-15,,78.0,106.66000366210938,692.7374877929688,298.06829833984375,258.0,,160.77999877929688,78.68250274658203,54.70000076293945,156.1565399169922,221.64999389648438,174.154541015625,280.3687438964844,57.33333206176758,106.17500305175781,333.477783203125,237.72500610351562,906.7000122070312,115.41666412353516,152.68333435058594,,156.00230407714844,115.32183074951172,97.22216033935547,331.5874938964844,181.76162719726562,36.179840087890625,466.8999938964844,1118.449951171875,70.53187561035156
2007-01-16,,78.83000183105469,110.2300033569336,693.5250244140625,301.85357666015625,258.8500061035156,,161.75999450683594,79.92500305175781,54.80500030517578,153.845458984375,220.0,174.55455017089844,277.7749938964844,57.21666717529297,105.67500305175781,338.1555480957031,246.5625,910.6500244140625,114.875,153.3249969482422,,153.94505310058594,114.14714813232422,96.37630462646484,331.0249938964844,183.49588012695312,35.91539764404297,450.9125061035156,1145.800048828125,71.65125274658203
2007-01-17,,80.4749984741211,109.5199966430664,692.9500122070312,301.06500244140625,261.04998779296875,,163.07000732421875,80.75749969482422,53.057498931884766,152.3500518798828,220.60000610351562,179.42727661132812,275.6812438964844,56.5,107.5999984741211,345.5888977050781,240.8000030517578,908.75,116.25,149.1750030517578,,154.27650451660156,115.35014343261719,97.07807922363281,326.1625061035156,184.87562561035156,36.03835678100586,495.20001220703125,1165.1500244140625,71.31375122070312
2007-01-18,,80.81999969482422,109.38999938964844,695.6624755859375,303.3857421875,259.6000061035156,,163.16000366210938,81.82499694824219,53.0525016784668,151.57969665527344,224.0,176.59091186523438,278.01873779296875,57.400001525878906,106.7750015258789,353.4222106933594,242.10000610351562,918.6500244140625,116.33333587646484,152.46665954589844,,156.28231811523438,115.95870971679688,97.39876556396484,328.86248779296875,182.90182495117188,35.41682815551758,474.63751220703125,1148.5,72.18000030517578
2007-01-19,,79.93499755859375,107.05000305175781,683.0999755859375,308.7031555175781,252.5500030517578,,162.3000030517578,82.5824966430664,53.41999816894531,150.3108673095703,221.75,179.16363525390625,275.29376220703125,58.53333282470703,111.5250015258789,348.72222900390625,233.4499969482422,912.2999877929688,115.20833587646484,149.38333129882812,,158.0366973876953,115.13784790039062,95.54904174804688,324.5375061035156,182.18321228027344,34.82477951049805,444.1499938964844,1135.1500244140625,69.82312774658203
2007-01-22,,79.8550033569336,109.2699966430664,689.4500122070312,304.8052062988281,254.89999389648438,,162.00999450683594,82.9375,52.814998626708984,149.177978515625,224.60000610351562,177.6727294921875,281.75,59.650001525878906,120.7874984741211,344.8333435058594,232.03750610351562,938.7999877929688,115.41666412353516,149.0749969482422,,157.01950073242188,115.5388412475586,98.50952911376953,328.36248779296875,184.59776306152344,35.0892219543457,440.5375061035156,1117.699951171875,69.9468765258789
2007-01-23,,78.83000183105469,101.83000183105469,689.625,310.8887023925781,254.75,,154.25,82.48249816894531,51.64500045776367,149.40455627441406,222.1999969482422,175.3272705078125,279.39373779296875,59.08333206176758,115.8499984741211,341.75555419921875,230.27499389648438,918.9500122070312,112.54166412353516,148.64999389648438,,155.49942016601562,110.77406311035156,97.35228729248047,325.67498779296875,182.1352996826172,34.58644485473633,436.8500061035156,1059.699951171875,69.83438110351562
